-1,-1,65
-1,0,65
-1,-1,66
0,-1,65
0,1,65
-1,0,65
0,-1,65
-1,-1,64
-1,0,65
-1,0,65
-1,-1,66
0,-1,66
0,-1,66
0,-1,64
-1,0,65
0,0,65
0,-1,65
0,0,64
-1,-1,64
-1,-1,65
0,0,65
-1,-1,65
1,-1,65
-1,-1,64
-1,0,65
-1,0,64
-1,0,65
-1,-1,65
0,-1,64
33,32,29
-1,0,60
1,-26,89
5,-28,53
17,-40,46
20,-50,10
11,-38,-30
-14,-17,-63
-4,-4,-79
-14,-3,-64
-14,8,-66
-12,7,-66
-10,4,-67
-10,2,-67
-8,1,-68
-8,0,-67
-8,0,-65
-5,-2,-68
-6,-3,-69
-7,0,-65
-8,-4,-68
-7,-3,-68
-8,-7,-68
-6,-7,-71
-1,-15,-70
-5,-17,-64
-7,-20,-65
-6,-20,-67
-3,-24,-68
-6,-31,-59
-8,-37,-53
-8,-47,-48
-7,-50,-44
-8,-53,-33
-2,-66,-23
3,-64,-8
5,-66,13
8,-61,23
7,-50,36
9,-39,54
5,-31,53
4,-22,57
2,-13,67
2,-9,64
0,-4,61
1,-3,66
1,-4,67
0,-3,65
0,-3,65
-1,-3,66
-5,-3,62
-1,-2,67
-2,-2,65
-1,-2,67
-2,-3,62
-2,-2,65
-1,-1,66
-1,-3,64
-2,-2,65
-2,-1,64
-3,-2,65
-3,-3,66
0,-2,65
-3,-5,64
-2,-6,66
-2,-5,67
-1,-6,66
-1,-11,62
0,-19,62
1,-23,61
2,-32,60
1,-32,54
-3,-41,48
5,-54,35
1,-61,24
2,-64,19
3,-59,7
0,-64,0
0,-64,-10
0,-57,-25
3,-55,-30
-1,-51,-43
-2,-44,-48
-4,-36,-55
-9,-29,-61
-9,-14,-63
-11,-8,-67
-15,-3,-67
-15,3,-68
-22,12,-62
-21,9,-66
-17,9,-65
-19,13,-64
-18,12,-64
-17,12,-64
-16,10,-65
-15,9,-65
-16,7,-65
-15,8,-65
-15,9,-68
-16,8,-65
-15,9,-64
-15,10,-65
-15,9,-66
-15,9,-65
-14,9,-64
-13,6,-67
-13,4,-66
-12,4,-66
-12,3,-64
-10,-7,-72
-10,-17,-63
1,-33,-65
5,-44,-66
20,-56,-39
18,-56,-21
19,-61,-8
25,-60,23
20,-53,21
17,-44,50
11,-18,68
0,2,77
-4,3,65
0,-3,64
-2,-1,63
-2,0,64
-2,0,63
-1,0,64
-1,1,65
-1,2,63
0,4,63
0,5,64
0,4,65
0,3,65
0,4,64
0,4,63
0,3,64
1,5,65
1,4,63
1,5,63
3,3,68
5,6,68
4,4,67
6,4,62
7,-1,69
13,7,80
12,-15,85
15,-19,51
30,-34,48
38,-17,7
6,-17,-22
30,-13,-83
34,4,-100
20,18,-75
9,-1,-53
1,1,-64
4,2,-70
4,4,-67
5,3,-66
6,2,-66
5,5,-68
6,5,-68
5,3,-66
7,4,-67
6,3,-71
6,3,-67
5,3,-69
9,6,-67
4,3,-67
3,4,-67
4,5,-67
5,3,-67
5,3,-69
6,5,-69
6,5,-69
9,2,-70
19,5,-69
19,-9,-56
37,-28,-40
40,-55,-41
30,-61,-19
33,-67,16
-1,-24,49
32,-16,79
5,6,59
13,54,35
-7,53,4
-15,70,-65
10,19,-82
14,-16,-70
10,-49,-68
12,-11,-68
18,-25,-33
9,-89,-10
-5,-31,23
8,-36,55
15,-11,54
27,-5,79
20,30,87
17,-6,73
41,26,37
29,51,38
19,39,-15
11,28,-34
8,21,-82
0,-45,-49
4,-52,-37
18,-28,-82
-9,-80,-51
40,-60,7
5,1,61
6,-4,62
20,15,63
7,6,61
1,5,62
-2,0,65
-12,1,65
-5,-1,63
-6,4,63
-6,5,63
-4,6,60
-1,6,66
-3,6,65
-2,6,64
-3,6,64
-5,6,65
-4,5,63
-8,-1,66
-2,2,66
-16,-6,72
-17,-48,10
-27,-13,-35
-4,-28,-71
2,-3,-63
1,-19,-89
-10,-45,-65
15,-57,-2
-14,0,51
-12,10,68
-13,7,62
-10,2,64
-8,4,65
-7,7,62
-3,5,63
-14,-15,78
1,-1,-18
-18,-17,-99
-4,-6,-83
